code,name,utf8
U+1F522,input numbers,0xF0 0x9F 0x94 0xA2,
U+1F521,input latin lowercase,0xF0 0x9F 0x94 0xA1,
U+1F520,input latin uppercase,0xF0 0x9F 0x94 0xA0,
U+1F51F,keycap: 10,0xF0 0x9F 0x94 0x9F,
U+0039,keycap: 9,0x39,U+0039 U+FE0F U+20E3
U+0038,keycap: 8,0x38,U+0038 U+FE0F U+20E3
U+0037,keycap: 7,0x37,U+0037 U+FE0F U+20E3
U+0036,keycap: 6,0x36,U+0036 U+FE0F U+20E3
U+0035,keycap: 5,0x35,U+0035 U+FE0F U+20E3
U+0034,keycap: 4,0x34,U+0034 U+FE0F U+20E3
U+0033,keycap: 3,0x33,U+0033 U+FE0F U+20E3
U+0032,keycap: 2,0x32,U+0032 U+FE0F U+20E3
U+0031,keycap: 1,0x31,U+0031 U+FE0F U+20E3
U+0030,keycap: 0,0x30,U+0030 U+FE0F U+20E3
U+002A,keycap: *,0x2A,U+002A U+FE0F U+20E3
U+0023,keycap: #,0x23,U+0023 U+FE0F U+20E3
U+2122,trade mark,0xE2 0x84 0xA2,
U+00AE,registered,0xC2 0xAE,
U+00A9,copyright,0xC2 0xA9,
U+2747,sparkle,0xE2 0x9D 0x87,
U+2734,eight-pointed star,0xE2 0x9C 0xB4,
U+2733,eight-spoked asterisk,0xE2 0x9C 0xB3,
U+303D,part alternation mark,0xE3 0x80 0xBD,
U+27BF,double curly loop,0xE2 0x9E 0xBF,
U+27B0,curly loop,0xE2 0x9E 0xB0,
U+274E,cross mark button,0xE2 0x9D 0x8E,
U+274C,cross mark,0xE2 0x9D 0x8C,
U+2714,check mark,0xE2 0x9C 0x94,
U+2611,check box with check,0xE2 0x98 0x91,
U+2705,check mark button,0xE2 0x9C 0x85,
U+2B55,hollow red circle,0xE2 0xAD 0x95,
U+1F530,Japanese symbol for beginner,0xF0 0x9F 0x94 0xB0,
U+1F4DB,name badge,0xF0 0x9F 0x93 0x9B,
U+1F531,trident emblem,0xF0 0x9F 0x94 0xB1,
